ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"63",140.326600,38.421240,169,41,0,0,210,0,0,15,0,0,0,0,0
"59",140.141630,37.986590,3352,828,19267,379,2653,47,9,509,48,0,0,0,0
"60",140.048640,38.113770,21080,4857,94768,1929,7253,101,15,1496,87,0,0,145,0
"61",140.282610,38.343250,27716,10652,150241,2303,9667,119,15,1796,130,0,0,179,0
"62",140.279610,38.292160,5281,4388,26016,857,4752,90,20,954,10,0,0,39,0
"64",140.368590,38.589320,49880,26744,271302,4765,24337,568,41,4291,17,0,0,486,0
"65",140.287590,38.662610,56153,29347,298978,4900,25218,574,42,4713,26,0,0,486,0
"66",140.212590,38.798690,7569,700,53464,780,1180,0,3,313,5,0,0,0,0
"67",139.846630,38.630700,1151,255,52156,836,289,21,0,90,15,0,0,60,0
"68",139.815620,38.841180,6896,1254,57148,936,2621,56,0,373,260,0,0,91,0
