ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"349",131.617580,32.563100,3689,4322,84710,2380,973,0,10,170,16,0,0,178,0
"350",131.696570,32.684190,455,76,25416,564,187,0,0,38,125,0,0,0,0
"348",131.473600,32.162840,772,411,33510,1149,189,0,0,105,32,0,0,0,0
"344",131.112640,31.859570,9789,12417,45433,1488,8261,53,13,918,7,0,0,218,0
"345",131.300620,31.954860,14131,21278,91236,2203,10907,152,22,1243,22,0,0,398,0
"346",131.398610,31.954570,17722,23771,132748,2780,12648,166,22,1445,23,0,0,482,0
"347",131.319620,31.984860,853,744,32172,428,490,0,0,69,104,0,0,0,0
