ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"162",137.588908,36.814453,0,0,55871,2776,0,0,0,10,45,0,0,0,0
"163",137.342940,36.575874,45,10,32047,480,88,0,2,114,6,0,0,0,0
"164",137.185954,36.572470,6050,1740,185085,2055,2985,72,7,798,46,0,0,103,0
"165",137.142957,36.590867,1037,29,23021,88,238,0,0,57,6,0,0,10,0
"166",137.203947,36.701356,15342,2043,227785,2358,7393,128,11,1681,27,0,0,263,0
"167",137.005970,36.564167,507,206,97741,1336,368,99,0,236,32,0,0,97,0
"168",137.045960,36.734948,2145,50,2525,37,639,10,0,33,0,0,0,20,0
"169",136.892977,36.626956,8389,361,16314,106,2104,84,0,274,23,0,0,173,0
"170",136.982964,36.758344,1213,0,0,1,545,2,0,37,4,0,0,0,0
