ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"306",133.737350,33.789410,2095,963,80752,1050,556,18,2,110,21,0,0,0,0
"303",133.681370,33.568330,1620,384,39664,382,470,0,0,33,140,0,0,0,0
"301",133.172410,33.574120,1379,2211,81135,2251,615,0,0,143,0,0,0,74,0
"302",133.413390,33.552530,3552,3941,122085,2517,1639,0,9,211,50,0,0,200,0
"297",132.966440,33.193660,4232,662,77109,1136,761,3,11,92,4,0,0,38,0
"298",132.925450,32.988380,8152,1822,150979,1748,1736,35,15,204,293,0,0,82,0
"299",132.929450,33.029780,62,0,710,0,7,0,0,0,0,0,0,0,0
"300",132.841460,32.965880,18,2,354,0,5,0,0,0,0,0,0,0,0
