ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"193",137.127010,35.334910,2715,472,25064,544,4283,129,4,750,10,0,0,865,0
"195",136.960020,35.403800,16071,6595,413556,3401,13317,202,59,2763,53,0,0,2019,0
"196",136.569050,35.480380,767,84,55020,459,280,0,0,114,123,0,0,34,0
"197",136.658050,35.359600,4286,970,102021,1099,2655,7,5,404,104,0,0,123,0
"198",136.656040,35.509680,802,186,34731,492,372,0,2,57,21,0,0,89,0
"199",136.514060,35.333500,1028,120,14480,31,479,27,2,61,23,0,0,131,0
"200",136.596050,35.307600,4749,289,5893,196,3555,35,18,184,1,0,0,6,0
"201",136.909020,35.549580,3015,924,95570,300,2070,178,6,605,46,0,0,152,0
"202",136.750040,35.428990,7599,2234,132743,478,6968,264,6,1244,261,0,0,823,0
"203",136.686040,35.361500,1596,391,0,0,1492,11,0,137,3,0,0,0,0
"204",136.735040,35.449890,1873,263,6933,32,1853,0,0,180,7,0,0,80,0
