ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"78",141.270500,38.764630,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",141.287500,38.764630,38,52,758,3,17,0,0,0,0,0,0,0,0
"80",141.286500,38.658540,116645,47488,573195,13808,30901,905,346,14122,100,0,0,1247,0
"81",141.280510,38.603550,116956,47543,575928,13860,31000,910,346,14145,189,0,0,1247,0
"82",140.978530,38.581240,2912,432,33099,391,1164,1,3,531,228,0,0,90,0
"83",141.132520,38.540450,9797,1210,35708,522,3533,33,5,780,30,0,0,90,0
"84",141.227520,38.525760,174105,53456,668782,16480,42745,1091,396,17059,188,0,0,1406,0
"85",140.948540,38.527150,8280,1991,42883,370,1558,8,0,439,256,0,0,71,0
"86",141.058530,38.527150,14487,3049,47419,413,3600,25,5,660,73,0,0,141,0
"87",140.814570,38.217980,2588,1475,34793,424,981,141,0,532,14,0,0,357,0
"88",140.888560,38.204080,2755,1632,35750,453,2733,175,19,669,25,0,0,357,0
"89",140.889560,38.235780,1296,393,24597,252,2174,23,11,743,128,0,0,96,0
"96",140.753580,37.926110,62778,52559,239840,3529,31214,483,234,5437,83,0,0,2146,0
