ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"313",130.688631,33.662160,4738,411,16789,396,4140,14,4,506,19,0,0,269,0
"314",130.731624,33.749051,5817,535,20276,561,5868,33,17,967,153,0,0,479,0
"315",130.731625,33.733253,4180,563,18706,709,4311,1,17,687,26,0,0,159,0
"316",130.672630,33.724952,1909,186,9227,111,853,36,4,203,27,0,0,252,0
"359",131.180589,33.569680,2507,542,40035,76,478,2,0,113,123,0,0,0,0
"322",130.832626,33.346599,8331,4528,106839,4512,3026,77,12,4999,4,0,0,156,0
"323",130.751633,33.368895,9699,5999,114797,4618,3739,128,14,5054,28,0,0,212,0
"324",130.633644,33.351594,13502,7417,120389,4688,5228,198,14,5145,56,0,0,297,0
"327",130.503660,33.182211,3271,5854,31227,113,1244,0,0,121,90,0,0,61,0
