ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"141",138.582890,35.194960,14383,29368,255705,4955,20007,234,27,2698,47,0,0,1876,0
"174",138.938860,34.990490,1155,429,25310,310,1037,3,1,217,5,0,0,574,0
"175",138.943860,35.038590,1454,871,29587,397,1669,13,1,267,14,0,0,651,0
"176",138.900860,35.092180,1382,1641,11047,131,3425,22,30,294,17,0,0,452,0
"177",138.885860,35.118280,968,1203,14037,990,3392,87,1,4117,13,0,0,781,0
"178",138.364910,34.960180,445,2386,43298,512,1521,0,0,228,85,0,0,0,0
"179",138.369910,35.071070,32,496,24933,314,145,0,0,16,136,0,0,0,0
"180",138.268920,35.015480,34,492,9826,76,74,0,0,1,17,0,0,0,0
"181",138.112940,34.884090,126,1869,103230,2314,526,0,4,90,39,0,0,0,0
"182",138.088940,34.738600,405,1245,1258,26,420,6,18,48,33,0,0,118,0
"186",137.803970,34.853880,23357,18835,396853,5665,17810,403,14,2207,12,0,0,934,0
"187",137.883950,34.950770,5,19,760,0,5,0,0,0,2,0,0,0,0
