ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"258",132.882380,35.324810,5916,1346,58775,751,1558,10,8,300,31,0,0,76,0
"259",132.830390,35.339810,8159,1703,70827,816,2477,10,9,359,158,0,0,76,0
"260",132.783390,35.368710,109,1,163,1,184,0,0,34,222,0,0,25,0
"261",132.880380,35.293920,1421,305,16823,117,361,10,0,59,0,0,0,76,0
"268",132.642420,34.948750,27453,3421,227048,2413,8213,124,12,1472,20,0,0,498,0
"269",132.284450,34.998440,32229,4556,304453,3028,9542,141,19,1717,4,0,0,558,0
"271",131.824500,34.675670,3835,745,93741,2003,947,50,3,336,18,0,0,0,0
