ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"290",132.902430,33.826390,25,25,4904,137,18,0,0,9,44,0,0,0,0
"291",132.907430,33.794090,658,306,5003,46,138,15,0,11,9,0,0,37,0
"292",132.791440,33.841880,162,770,8196,168,420,0,0,50,11,0,0,72,0
"293",132.725440,33.804980,3863,4002,27998,448,4729,44,2,426,10,0,0,181,0
"294",132.665460,33.488020,1321,3584,28752,74,511,25,2,84,23,0,0,117,0
"295",132.559470,33.508910,6106,6055,75837,468,1812,71,3,240,44,0,0,117,0
"296",132.599460,33.535810,226,460,4532,5,51,19,1,6,0,0,0,0,0
