ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"172",139.460690,38.134850,3695,420,97883,2343,800,16,10,272,172,0,0,33,0
"149",139.268720,37.739090,40887,12288,582411,11183,11763,420,47,2620,104,12,0,630,0
"155",138.802780,37.247230,61642,55347,586559,13886,49187,604,234,9409,3,0,0,2784,0
"156",138.930770,37.241940,12687,699,109547,2074,4052,182,53,1681,11,0,0,120,0
"157",138.800780,37.308630,76915,56736,707717,16520,54016,857,300,11270,365,0,0,2917,0
"158",139.002740,37.829870,105888,59978,766763,19138,65476,1224,368,12718,272,0,0,3090,0
"159",138.946750,37.634890,109849,59785,795018,20146,66267,1201,366,12829,19,0,0,3252,0
"160",138.263840,37.116340,9731,1171,50176,2249,3060,177,4,1306,27,0,0,438,0
"161",137.870880,36.985540,1921,208,59983,2704,762,0,3,995,43,0,0,0,0
