ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"71",141.152460,39.690620,18228,17350,163963,5243,7725,242,133,6337,14,0,0,512,0
"72",141.175470,39.551740,25929,20080,187332,5534,11341,312,233,6758,16,0,0,569,0
"73",141.130480,39.387850,48542,27523,312626,7688,15642,447,260,9272,9,0,0,712,0
"74",141.122490,39.261770,64347,29743,408258,8527,20432,610,283,10151,9,0,0,871,0
"75",141.154490,39.167580,72916,32394,435160,10831,21935,661,284,11075,79,0,0,984,0
"76",141.162490,39.065690,89295,35688,462068,11456,25408,715,285,11965,16,0,0,1084,0
"77",141.166500,38.948510,97192,36555,482271,11947,26784,790,292,12515,5,0,0,1126,0
