ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"97",140.554665,36.496469,11780,9304,105465,565,5679,12,4,1068,15,0,0,1439,0
"98",140.426674,36.552559,6426,5656,75967,362,2341,0,1,482,52,0,0,508,0
"99",140.397673,36.632849,5632,4806,73134,324,1873,0,1,433,54,0,0,392,0
"100",140.325682,36.550057,39218,16845,136324,656,13682,47,83,2688,120,0,0,3267,0
"103",140.055733,35.897423,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",139.789747,36.104292,75657,91138,524390,12730,102404,1131,188,12695,45,0,0,10677,0
"106",139.768748,36.123490,460,907,119,9,1217,10,1,105,9,0,0,0,0
"122",139.997723,36.248782,23033,7680,10586,214,9715,50,4,1206,12,0,0,1085,0
"124",139.984733,36.024607,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",139.911731,36.225982,401,273,3,0,126,0,0,8,81,0,0,0,0
