ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"102",140.138727,35.853230,152664,130054,650181,15577,152012,1378,355,19721,93,0,0,14390,0
"104",139.889743,35.981509,78263,94137,524941,12813,105135,1132,188,13022,38,0,0,10728,0
"126",139.776748,36.090393,73674,88410,523477,12723,99534,1099,169,12480,166,0,0,10591,0
"127",139.878747,35.908517,74280,88826,523676,12764,101937,1099,176,12728,402,0,0,10748,0
"128",139.896748,35.852424,115170,112218,636152,14864,132997,1285,299,16592,254,0,0,12906,0
