ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"188",137.522984,34.986560,389,501,21242,82,498,0,2,77,18,0,0,49,0
"189",137.492990,34.891070,558,411,3143,34,557,0,0,95,19,0,0,0,0
"190",137.419000,34.810477,2003,2382,8234,278,1674,68,0,253,73,0,0,145,0
"191",137.167015,35.002149,7917,3148,154165,1365,6379,114,6,1752,131,0,0,1421,0
"192",137.058028,34.889059,10640,3744,176190,1549,10844,232,17,2369,78,0,0,1641,0
"194",136.875033,35.202519,3835,889,38766,1207,16231,301,35,2327,48,0,0,1276,0
