ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"205",136.595068,34.901846,3519,2972,13973,262,2718,235,24,488,36,0,0,547,0
"206",136.596067,34.919044,886,1195,2193,72,782,19,0,47,23,0,0,36,0
"207",136.403093,34.645171,1555,237,25255,130,834,0,16,233,24,0,0,572,0
"208",136.540086,34.505190,1551,564,31635,269,975,20,0,69,113,0,0,0,0
"209",136.655078,34.464097,2504,665,67827,360,1039,100,4,155,44,0,0,0,0
"226",136.057119,34.767149,8552,748,34961,385,3022,91,12,687,6,0,0,687,0
"227",136.080122,34.620766,2967,753,34827,195,1757,0,3,302,5,0,0,153,0
