ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"286",134.061289,34.952882,11453,1545,71988,1366,4940,92,15,739,42,0,0,231,0
"287",134.134281,34.988979,5666,1455,35965,808,1468,46,8,396,18,0,0,255,0
"288",134.104288,34.874592,18522,3445,123174,2328,7038,138,23,1285,54,0,0,680,0
"289",134.085295,34.711310,21168,3802,147528,2590,8735,233,27,1534,213,0,0,769,0
"285",133.961305,34.741804,12602,5275,121813,1402,4737,154,6,545,117,0,0,605,0
"284",133.682331,34.714301,12431,6758,161143,1458,3291,114,14,611,35,0,0,254,0
