ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"90",140.208670,37.135590,1494,1017,10970,83,515,0,0,157,8,0,0,195,0
"91",140.389640,37.300870,17184,12251,47270,383,5549,45,24,1272,56,0,0,1178,0
"92",140.409640,37.408060,36,2,4,0,516,0,4,9,6,0,0,0,0
"93",140.405630,37.515250,45517,25259,119268,1246,18871,185,83,2992,27,0,0,1742,0
"94",140.469620,37.749720,56715,40610,173864,2681,25214,383,158,4492,12,0,0,2033,0
"95",140.520610,37.828620,57705,43495,210622,3060,28422,424,203,4959,66,0,0,2033,0
"146",139.926680,37.393350,2552,2026,78703,490,1107,0,3,241,11,0,0,150,0
"147",139.885670,37.591930,10916,2972,71498,1745,2028,116,4,895,9,12,0,200,0
"148",139.818680,37.610520,31296,8395,196879,2629,8804,248,15,1815,5,12,0,382,0
