ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"358",131.116600,33.451390,1145,365,25219,24,174,0,0,80,4,0,0,0,0
"320",130.971620,33.251110,1873,1216,40157,2343,578,0,0,2218,25,0,0,0,0
"321",130.941620,33.306410,6466,3309,81979,4389,1665,46,4,4824,18,0,0,54,0
"326",130.964620,33.297710,4364,1990,36787,2019,943,46,4,2581,25,0,0,54,0
"354",131.512570,33.195030,5204,815,29075,1740,1124,26,4,766,5,0,0,165,0
"355",131.587560,33.205030,6684,1136,33654,1858,2349,28,4,909,43,0,0,418,0
"356",131.605560,33.201130,7640,1338,41271,1925,3173,29,4,1071,24,0,0,456,0
"357",131.553570,33.176930,11,5,634,0,7,0,0,2,0,0,0,0,0
"352",131.636560,33.074150,12482,8639,82539,4271,3152,23,3,2601,7,0,0,228,0
"353",131.649560,33.161440,13382,9068,92452,4466,3410,32,6,2634,33,0,0,352,0
"351",131.929540,32.957260,解析範囲外
