ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"248",135.266170,35.317867,502,73,2171,6,218,47,1,117,3,0,0,9,0
"249",135.124183,35.304566,10964,1667,108432,623,4114,243,5,888,24,0,0,260,0
"250",135.159181,35.272570,4555,486,27998,123,1195,112,0,270,23,0,0,67,0
"225",135.716145,34.897426,7620,269,82911,508,13131,183,96,1295,0,0,0,320,0
"228",135.870136,34.759645,15408,4317,101605,790,7218,165,19,1624,4,0,0,2357,0
"229",135.798141,34.801839,17147,4636,106440,894,9505,237,55,2336,23,0,0,2431,0
"230",135.700146,34.890426,60198,3839,215167,3351,39956,1079,168,5911,107,18,0,2684,0
"231",135.511156,35.088999,2997,92,45868,278,1222,21,0,260,4,0,0,133,0
"232",135.645146,35.026510,6590,149,59042,398,3096,119,2,453,0,0,0,229,0
"233",135.713142,34.981516,6706,176,66885,415,4198,119,4,515,57,0,0,229,0
"234",135.760138,34.968219,282,22,13088,69,3267,7,13,206,28,0,0,91,0
"235",135.717144,34.907925,7287,207,81272,494,11743,163,89,1150,24,0,0,320,0
