ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"237",135.395170,34.874020,1965,36,17585,58,1382,7,2,194,0,0,0,483,0
"238",135.423170,34.798830,2336,195,22147,184,3401,34,12,506,46,0,0,716,0
"251",134.789210,35.418740,4058,718,57400,529,2017,83,8,440,34,0,0,31,0
"252",134.799210,35.483140,5426,1074,68503,625,2628,83,8,656,56,0,0,96,0
"253",134.868200,35.463740,1329,94,15107,48,256,0,0,25,3,0,0,0,0
"239",134.973210,34.964000,11039,513,65872,359,4726,95,2,720,5,0,0,555,0
"240",134.915220,34.800420,29265,1596,103878,843,11046,491,25,2262,46,0,0,3924,0
"241",134.553240,34.996790,1924,93,41668,938,783,13,0,131,26,0,0,0,0
"242",134.548250,34.866000,3317,134,51663,986,1710,56,0,213,39,0,0,0,0
"243",134.560250,34.804310,5957,250,61667,1067,3657,116,7,343,3,0,0,34,0
