ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"264",132.714419,34.665086,4116,247,31555,63,1953,30,0,255,8,0,0,156,0
"265",132.882399,34.802573,9234,1303,48873,593,1934,22,3,538,15,0,0,138,0
"266",132.846402,34.816771,4720,423,52312,1178,1007,6,6,267,14,0,0,5,0
"267",132.841403,34.811471,21245,2359,152360,1990,6852,113,10,1251,14,0,0,311,0
"270",132.832404,34.790974,7033,579,50168,212,3302,78,0,328,33,0,0,156,0
"280",133.236375,34.564008,6379,923,35444,240,1282,24,4,291,1,0,0,164,0
"281",133.339368,34.498818,7591,1160,47516,317,3509,27,4,389,139,0,0,250,0
"282",133.353366,34.521816,7569,1160,47417,313,3480,24,4,389,78,0,0,250,0
"283",133.357366,34.520116,1236,309,7986,73,2946,32,3,134,13,0,0,136,0
"275",132.319456,34.608784,1939,400,54532,660,565,34,2,581,2,0,0,73,0
"276",132.433448,34.535095,4576,685,92672,908,1704,89,14,786,10,0,0,205,0
"277",132.533441,34.483803,2540,119,20722,216,1616,43,1,134,25,0,0,124,0
"278",132.493445,34.461504,7671,836,124598,1314,5481,144,17,1120,55,0,0,374,0
"279",132.508442,34.508799,4761,700,96199,965,2384,98,15,864,20,0,0,250,0
