ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"328",130.719650,32.993340,8666,7626,27241,494,4306,17,0,1467,14,0,0,430,0
"329",130.583660,32.938340,14623,12140,45867,963,6814,26,0,1679,76,0,0,739,0
"330",130.874640,32.858660,9045,2481,15747,9074,2116,0,15,893,12,0,0,688,0
"331",130.705650,32.796460,9771,3165,16196,9075,3880,2,15,1095,66,0,0,714,0
"332",130.805650,32.645080,3913,2833,40165,543,812,0,0,59,6,0,0,0,0
"333",130.738650,32.733370,6192,4138,49378,642,1682,48,0,1360,37,0,0,52,0
"334",130.796650,32.711670,906,515,8033,80,207,0,0,1247,10,0,0,52,0
"335",130.753650,32.759460,3283,3561,7369,587,4569,118,1,601,3,0,0,295,0
"336",130.771660,32.214530,8078,3628,88211,1276,2586,34,3,410,30,0,0,165,0
"337",130.656670,32.462300,10311,4966,146230,2551,4060,95,43,574,7,0,0,165,0
"338",130.793660,32.224030,298,556,47095,254,238,0,0,117,1,0,0,0,0
