ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"150",138.112874,36.532299,18122,22565,180758,3223,15850,123,51,3055,21,0,0,1705,0
"151",137.926896,36.395610,18651,8499,161007,6150,13524,156,26,1839,61,0,0,270,0
"152",138.140870,36.570295,18989,23533,185274,3239,17132,152,62,3104,0,0,0,1842,0
"153",138.310848,36.731981,45929,46767,453738,10789,43910,540,219,6398,19,0,0,2475,0
"154",138.278866,36.367822,13823,18739,144746,2530,9891,56,36,2130,14,0,0,1579,0
"183",137.983908,35.964760,4852,3128,50477,2294,6741,217,9,695,12,0,0,450,0
"184",137.985912,35.837075,8318,5522,65350,2394,9064,270,9,899,1,0,0,528,0
"185",137.929926,35.595401,16777,8742,166385,4016,12648,354,12,1611,6,0,0,627,0
